order_id,client_id,order_date,fulfillment_status,total_cost,order_year,order_month,month_name,day_name,order_quarter
70065,C03,2021-04-28,Cancelled,4012.1,2021,4,April,Wednesday,Q2
70066,C11,2023-04-27,Pending,1044.28,2023,4,April,Thursday,Q2
70067,C02,2022-07-25,Cancelled,2310.69,2022,7,July,Monday,Q3
70068,C15,2020-06-28,Delivered,4274.79,2020,6,June,Sunday,Q2
70069,C16,2024-04-14,Cancelled,4909.07,2024,4,April,Sunday,Q2
70070,C13,2022-12-17,Delivered,6289.52,2022,12,December,Saturday,Q4
70071,C09,2023-01-20,Delivered,3615.41,2023,1,January,Friday,Q1
70072,C16,2023-03-05,Cancelled,2893.72,2023,3,March,Sunday,Q1
70073,C15,2021-09-18,Delivered,816.06,2021,9,September,Saturday,Q3
70074,C15,2024-08-09,Cancelled,3340.18,2024,8,August,Friday,Q3
70075,C04,2021-08-12,Delivered,4266.82,2021,8,August,Thursday,Q3
70076,C07,2024-11-15,Delayed,7267.27,2024,11,November,Friday,Q4
70077,C11,2020-06-22,Delayed,7805.17,2020,6,June,Monday,Q2
70078,C03,2020-08-17,Pending,296.85,2020,8,August,Monday,Q3
70079,C16,2024-08-02,Cancelled,4420.92,2024,8,August,Friday,Q3
70080,C13,2024-02-18,Delivered,5933.08,2024,2,February,Sunday,Q1
70081,C10,2022-02-21,Cancelled,7158.17,2022,2,February,Monday,Q1
70082,C07,2020-05-13,Delivered,1855.32,2020,5,May,Wednesday,Q2
70083,C17,2023-04-28,Delivered,2725.35,2023,4,April,Friday,Q2
70084,C01,2024-09-21,Delivered,7257.18,2024,9,September,Saturday,Q3
70085,C16,2023-10-29,Pending,763.25,2023,10,October,Sunday,Q4
70086,C02,2024-02-15,Pending,3450.98,2024,2,February,Thursday,Q1
70087,C19,2021-02-03,Delivered,3746.56,2021,2,February,Wednesday,Q1
70088,C17,2021-09-03,Delivered,4549.55,2021,9,September,Friday,Q3
70089,C10,2023-08-20,Delayed,3681.7,2023,8,August,Sunday,Q3
70090,C09,2021-11-04,Delayed,5508.83,2021,11,November,Thursday,Q4
70091,C13,2023-11-27,Cancelled,6959.57,2023,11,November,Monday,Q4
70092,C12,2020-09-17,Delivered,659.24,2020,9,September,Thursday,Q3
70093,C01,2024-06-14,Cancelled,5201.63,2024,6,June,Friday,Q2
70094,C14,2020-11-07,Delivered,1467.68,2020,11,November,Saturday,Q4
70095,C18,2024-01-11,Delivered,730.72,2024,1,January,Thursday,Q1
70096,C04,2023-07-23,Delivered,5790.76,2023,7,July,Sunday,Q3
70097,C06,2024-05-03,Cancelled,1850.78,2024,5,May,Friday,Q2
70098,C19,2021-04-08,Delayed,2991.86,2021,4,April,Thursday,Q2
70099,C12,2023-03-03,Cancelled,5393.75,2023,3,March,Friday,Q1
70100,C07,2024-11-12,Pending,4487.22,2024,11,November,Tuesday,Q4
70101,C19,2022-09-17,Pending,2111.36,2022,9,September,Saturday,Q3
70102,C02,2023-01-05,Cancelled,501.96,2023,1,January,Thursday,Q1
70103,C15,2022-02-23,Delivered,4159.16,2022,2,February,Wednesday,Q1
70104,C04,2023-06-01,Pending,7071.92,2023,6,June,Thursday,Q2
70105,C05,2021-02-23,Delivered,1429.89,2021,2,February,Tuesday,Q1
70106,C07,2021-03-26,Pending,6391.14,2021,3,March,Friday,Q1
70107,C11,2020-12-04,Cancelled,764.64,2020,12,December,Friday,Q4
70108,C01,2024-12-09,Pending,5874.31,2024,12,December,Monday,Q4
70109,C14,2024-01-28,Delivered,2862.69,2024,1,January,Sunday,Q1
70110,C17,2022-11-14,Delayed,4515.29,2022,11,November,Monday,Q4
70111,C09,2022-04-15,Delivered,6432.07,2022,4,April,Friday,Q2
70112,C07,2022-02-16,Delivered,3906.78,2022,2,February,Wednesday,Q1
70113,C15,2021-12-12,Cancelled,630.37,2021,12,December,Sunday,Q4
70114,C19,2020-01-22,Delayed,1932.88,2020,1,January,Wednesday,Q1
70115,C15,2024-01-16,Cancelled,5618.58,2024,1,January,Tuesday,Q1
70116,C02,2022-01-30,Delivered,1399.2,2022,1,January,Sunday,Q1
70117,C16,2022-01-04,Delivered,6359.05,2022,1,January,Tuesday,Q1
70118,C15,2023-08-13,Pending,6493.26,2023,8,August,Sunday,Q3
70119,C07,2020-01-24,Delivered,5985.94,2020,1,January,Friday,Q1
70120,C06,2023-10-31,Pending,1451.38,2023,10,October,Tuesday,Q4
70121,C13,2021-01-10,Pending,1310.21,2021,1,January,Sunday,Q1
70122,C12,2020-06-20,Cancelled,1043.87,2020,6,June,Saturday,Q2
70123,C14,2022-01-21,Delivered,1578.97,2022,1,January,Friday,Q1
70124,C07,2020-08-04,Delivered,746.42,2020,8,August,Tuesday,Q3
70125,C17,2023-04-09,Delivered,1618.99,2023,4,April,Sunday,Q2
70126,C13,2020-01-24,Delayed,6329.74,2020,1,January,Friday,Q1
70127,C12,2023-05-26,Delayed,4740.73,2023,5,May,Friday,Q2
70128,C07,2023-08-05,Pending,1020.34,2023,8,August,Saturday,Q3
70129,C18,2020-04-14,Delayed,4047.33,2020,4,April,Tuesday,Q2
70130,C11,2023-06-16,Delayed,7845.26,2023,6,June,Friday,Q2
70131,C13,2021-08-19,Pending,3544.15,2021,8,August,Thursday,Q3
70132,C03,2021-01-10,Delivered,3519.31,2021,1,January,Sunday,Q1
70133,C09,2023-01-23,Delivered,7178.91,2023,1,January,Monday,Q1
70134,C14,2020-12-02,Delivered,2127.01,2020,12,December,Wednesday,Q4
70135,C11,2024-12-13,Delivered,3321.75,2024,12,December,Friday,Q4
70136,C10,2022-02-26,Delivered,2865.29,2022,2,February,Saturday,Q1
70137,C16,2024-01-17,Pending,7486.66,2024,1,January,Wednesday,Q1
70138,C09,2022-10-01,Delivered,1574.9,2022,10,October,Saturday,Q4
70139,C19,2023-05-23,Cancelled,7572.11,2023,5,May,Tuesday,Q2
70140,C15,2020-06-16,Delivered,4455.11,2020,6,June,Tuesday,Q2
70141,C07,2021-03-02,Cancelled,6902.66,2021,3,March,Tuesday,Q1
70142,C02,2020-04-16,Delivered,6189.67,2020,4,April,Thursday,Q2
70143,C11,2021-01-24,Delivered,1555.58,2021,1,January,Sunday,Q1
70144,C17,2022-08-07,Cancelled,1936.28,2022,8,August,Sunday,Q3
70145,C11,2023-12-02,Cancelled,6904.01,2023,12,December,Saturday,Q4
70146,C09,2020-06-26,Delayed,7959.5,2020,6,June,Friday,Q2
70147,C13,2020-04-04,Delivered,3866.5,2020,4,April,Saturday,Q2
70148,C01,2021-07-07,Delivered,3527.13,2021,7,July,Wednesday,Q3
70149,C12,2024-04-30,Delivered,3280.28,2024,4,April,Tuesday,Q2
70150,C14,2022-11-30,Delivered,2965.65,2022,11,November,Wednesday,Q4
